C109

VEHICLE
NUMBER     CAPACITY
  10         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0       1236          0   
    1      45         68         10        760       1120         90   
    2      45         70         30        668       1028         90   
    3      42         66         10         16        376         90   
    4      42         68         10        575        935         90   
    5      42         65         10         15        375         90   
    6      40         69         20        482        842         90   
    7      40         66         20         18        378         90   
    8      38         68         20        110        470         90   
    9      38         70         10        390        750         90   
   10      35         66         10        204        564         90   
