C201

VEHICLE
NUMBER     CAPACITY
  10         700

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME
 
    0      40         50          0          0       3390          0   
    1      52         75         10        311        471         90   
    2      45         70         30        213        373         90   
    3      62         69         10       1167       1327         90   
    4      60         66         10       1261       1421         90   
    5      42         65         10         25        185         90   
    6      16         42         20        497        657         90   
    7      58         70         20       1073       1233         90   
    8      34         60         20       2887       3047         90   
    9      28         70         10       2601       2761         90   
   10      35         66         10       2791       2951         90   
