C205

VEHICLE
NUMBER     CAPACITY
  10         700

CUSTOMER
CUST NO.   XCOORD.   YCOORD.    DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0       3390          0   
    1      52         75         10        231        551         90   
    2      45         70         30        133        453         90   
    3      62         69         10       1087       1407         90   
    4      60         66         10       1181       1501         90   
    5      42         65         10         15        335         90   
    6      16         42         20        417        737         90   
    7      58         70         20        993       1313         90   
    8      34         60         20       2807       3127         90   
    9      28         70         10       2521       2841         90   
   10      35         66         10       2711       3031         90   
