C206

VEHICLE
NUMBER     CAPACITY
  10         700

CUSTOMER
CUST NO.   XCOORD.   YCOORD.     DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0       3390          0   
    1      52         75         10        213        568         90   
    2      45         70         30         22        563         90   
    3      62         69         10       1030       1463         90   
    4      60         66         10       1154       1527         90   
    5      42         65         10         15        402         90   
    6      16         42         20        331        822         90   
    7      58         70         20        965       1340         90   
    8      34         60         20       2653       3280         90   
    9      28         70         10       2385       2976         90   
   10      35         66         10       2628       3113         90   
