C207

VEHICLE
NUMBER     CAPACITY
  10         700

CUSTOMER
CUST NO.  XCOORD.    YCOORD.     DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0       3390          0   
    1      52         75         10        302        479         90   
    2      45         70         30        157        428         90   
    3      62         69         10       1138       1355         90   
    4      60         66         10       1247       1434         90   
    5      42         65         10         15        208         90   
    6      16         42         20        209        944         90   
    7      58         70         20       1059       1246         90   
    8      34         60         20       2035       3288         90   
    9      28         70         10       2090       3271         90   
   10      35         66         10       2311       3283         90   
