C208

VEHICLE
NUMBER     CAPACITY
  10         700

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      40         50          0          0       3390          0   
    1      52         75         10         71        711         90   
    2      45         70         30         20        660         90   
    3      62         69         10        927       1567         90   
    4      60         66         10       1021       1661         90   
    5      42         65         10         15        655         90   
    6      16         42         20        257        897         90   
    7      58         70         20        833       1473         90   
    8      34         60         20       2647       3287         90   
    9      28         70         10       2361       3001         90   
   10      35         66         10       2551       3191         90   
