R109

VEHICLE
NUMBER     CAPACITY
  10         200

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME
 
    0      35         35          0          0        230          0   
    1      41         49         10        133        198         10   
    2      35         17          7         22         87         10   
    3      55         45         13         98        143         10   
    4      55         20         19        123        184         10   
    5      15         30         26         20         93         10   
    6      25         30          3         76        131         10   
    7      20         50          5         61        110         10   
    8      10         43          9         75        124         10   
    9      55         60         16         74        129         10   
   10      30         60         16        107        150         10   
