R211

VEHICLE
NUMBER     CAPACITY
  10         1000

CUSTOMER
CUST NO.   XCOORD.    YCOORD.    DEMAND   READY TIME   DUE DATE   SERVICE TIME
 
    0      35         35          0          0       1000          0   
    1      41         49         10        451        974         10   
    2      35         17          7         18        534         10   
    3      55         45         13        378        733         10   
    4      55         20         19        477        965         10   
    5      15         30         26         20        610         10   
    6      25         30          3        245        684         10   
    7      20         50          5        172        569         10   
    8      10         43          9        245        640         10   
    9      55         60         16        231        666         10   
   10      30         60         16        430        779         10   
