RC207

VEHICLE
NUMBER     CAPACITY
  10         1000

CUSTOMER
CUST NO.   XCOORD.   YCOORD.   DEMAND    READY TIME   DUE DATE   SERVICE TIME

    0      40         50          0          0        960          0   
    1      25         85         20        591        874         10   
    2      22         75         30         73        350         10   
    3      22         85         10        473        588         10   
    4      20         80         40        418        913         10   
    5      20         85         20         40        390         10   
    6      18         75         20        249        646         10   
    7      15         75         20        281        438         10   
    8      15         80         10        272        581         10   
    9      10         35         20        236        625         10   
   10      10         40         30        470        687         10   
