         i         j       pij       pji
         7        11     300.1    -382.4
        52         9    -477.6       269
        45        90    -449.8       314
        89        59    -122.3     107.7
        67        59     549.8    -696.7
        24        74     137.4    -216.2
        61         5    -586.2     354.3
        11        79     303.3    -327.1
        42        99     753.6    -803.7
         7         1     754.6    -756.2
        90        41     -52.8       4.9
        51        49     109.6    -117.2
         7        51     667.8    -697.3
        24        51     670.7      -690
         8        23     327.5    -446.7
        54        38     163.6    -282.4
        88        15    -436.2     230.7
        15        17    -317.5     288.6
        10        75     487.4    -814.9
        75        30    -463.2     417.9
        32        45     350.3    -419.8
        48        91     165.4    -234.3
        65        69     882.3   -1011.7
        58        59     269.2    -306.7
        25         6     308.7    -588.9
        23        34     124.8    -197.8
        61        84    -216.6      -4.2
        13        71      98.9    -229.7
        68        83      -559     337.4
        73        94      -302     275.2
        14        44    -372.2       141
        54        74      25.1    -241.8
        80        57    -834.7     803.1
        42        68     646.5    -691.3
        89        63    -531.2     506.3
        59        21       286      -342
        87        14     472.8    -629.2
         3        20    -139.4     107.2
        43         8      22.8    -268.3
        38        65    -521.6     449.9
        70         7    -329.5     172.1
        60        77    -153.4    -167.7
        91        90      -773     764.9
        10        97     107.5    -218.9
        11        16      41.6     -61.2
        35         7    -245.8     144.3
        66        14    -413.3     286.8
        31         2       505    -728.9
        60        39     -84.3       8.1
        15        94     -42.4         3
        35        26     354.1    -393.3
        75        15    -693.4     689.6
        82        44       111    -117.7
         2        77    -329.4     172.3
        42        34     779.7    -830.2
        87        35     121.3    -128.2
        73        29    -222.9     130.8
        74        88     371.2    -414.7
        66        48      -255     165.4
        14        93    -220.5      58.8
        36        76    -580.2     477.6
         4        11    -332.7     308.9
        64        40    -427.3     411.3
        68        97    -225.1      35.2
        37        68     338.7    -358.5
        41        33      -147      76.2
        80        81    -822.3     710.1
        69        46    -564.8     374.3
        32        21     895.5    -916.8
        60        85    -165.4     154.5
        52        59    -250.1     220.6
        12        89     111.7    -205.2
        32        62     166.7    -198.8
        37        95    -234.5      54.5
        31        26     417.9    -524.2
        86        13     -49.3      14.6
        81        40     179.9    -199.1
        78        84     390.3    -468.9
        97        80     209.8    -300.2
        22        47      18.7    -273.9
        92        58      27.8     -96.5
        47        85    -568.8     479.6
        23        55    -636.7     487.3
         3        50     644.5    -713.7
        34        86    -705.9     703.8
        42        27     224.5      -350
        18        10     136.2    -218.6
        76        90      19.7     -42.5
         6        31    -422.5     310.8
        78        13     -55.5     -18.9
        96        83        15     -90.1
       100        55    -613.8     589.4
        55        56     333.5    -343.9
        79        53    -537.8       495
        19        67    -383.4     323.4
        42        28     416.8    -488.4
        77        20    -525.8     441.7
        72        47     420.1    -422.2
        98         2     668.3      -869
