         i         j       pij       pji
        63        16      20.3   -100000
        67        31     -38.3   -100000
        87        94      -6.8   -100000
        59        76      54.8   -100000
        45        92     -28.8   -100000
        19        18       2.4   -100000
        23        67       1.6   -100000
        65        57        61   -100000
        47        19      36.8   -100000
        27        68      75.4   -100000
        12        30      -0.1   -100000
        55        97      17.2   -100000
         2        35      82.5   -100000
        65        93     110.2   -100000
        77        89       8.4   -100000
        88         8      24.1   -100000
        55        30     -47.1   -100000
        73        46      59.5   -100000
        85        92     -33.4   -100000
        55        71     -37.9   -100000
        60        82    -114.6   -100000
        79        88     -23.9   -100000
        33        90      73.9   -100000
        29         6      51.1   -100000
        51        34      58.2   -100000
        65        22      60.1   -100000
        96        76     -43.6   -100000
        46        48      54.8   -100000
         3        32      47.1   -100000
        79        39     -68.9   -100000
        74        98     -98.6   -100000
        99        28     -72.8   -100000
        23        61     -16.7   -100000
        82        89     127.2   -100000
        86        91      45.1   -100000
        78        56      25.2   -100000
        81         3       3.5   -100000
        13       100      44.7   -100000
        91        55     -32.8   -100000
        65        33     -15.9   -100000
         8        59     -68.8   -100000
        31        98      12.9   -100000
        13        86     -45.4   -100000
        98        28       5.5   -100000
        27        83     -16.3   -100000
         7        38       2.6   -100000
        19        89      84.3   -100000
        62        43      85.6   -100000
        26        28     -85.4   -100000
        85        86      25.6   -100000
        69        94      61.9   -100000
        65        24     122.7   -100000
        66        36     -60.7   -100000
        25        33    -138.6   -100000
        80        11    -124.3   -100000
        47        17     130.2   -100000
         5        88      51.8   -100000
        99        49      53.7   -100000
        15        43      68.3   -100000
       100        77     -25.1   -100000
        93        48      -6.9   -100000
        68        16       -51   -100000
         4        21     -73.4   -100000
        88        54        70   -100000
        99        21        -7   -100000
        67        25      81.3   -100000
        54        69     -94.3   -100000
        54        56     -24.8   -100000
        79        22      27.1   -100000
        41        21     -19.7   -100000
        19        65     -36.1   -100000
        88        37      44.3   -100000
        27        90      72.9   -100000
        77        62    -134.4   -100000
        44        86      20.8   -100000
        49         7     -44.8   -100000
         3        14     -45.5   -100000
        33        36      21.2   -100000
        65        32       106   -100000
         1        45     -99.9   -100000
        20        94     -18.7   -100000
        26        29     -56.1   -100000
         8        64       -41   -100000
        51        40       2.9   -100000
        34        35       4.7   -100000
        70        56     -34.3   -100000
        26        75     -56.8   -100000
        72        82      23.8   -100000
        24        35     -15.2   -100000
        63        10      78.6   -100000
        66        84     -32.1   -100000
         8        53       2.3   -100000
        98        11      31.3   -100000
         5        58     165.5   -100000
        24        52    -121.9   -100000
        95        27     -10.1   -100000
        75         9      38.5   -100000
        42        84      67.3   -100000
        50        90     -35.2   -100000
