         i         j       pij       pji
        41        12    -340.2      -198
        32        41    -296.4       -43
        32         9    -163.2     144.1
        16        43    -622.5     615.4
        29        46         0         0
         6        10         0         0
        11        30         0         0
         4         1    -192.6   -100000
        10        38         0         0
        42        29         0         0
        42        40     715.9   -100000
        39        13       -10       -10
         6         5         0         0
         4        31       -10       -10
         1        17         0         0
        10        23       -10       -10
        39        10    -450.7       335
        30        50      96.7    -275.8
        34        45         0         0
         8        15    -121.7      89.1
        45        47     835.3   -100000
        15        20         0         0
        40        32    -274.1     139.4
        28        37         0         0
        15        12       630   -100000
        46        49       454      -756
        42        33     -13.2   -100000
        29        25     598.4    -698.4
        14        15       -10       -10
         3        12       -10       -10
        34        28     436.5   -100000
        39        25       -10       -10
        37        24         0         0
        50        22         0         0
        26         7       -10       -10
        50         7       -10       -10
        18         8         0         0
         2        39     229.1    -693.1
        50        48     -78.7   -100000
        17        24         0         0
        47         3         0         0
        21         7         0         0
        30         8       129   -100000
        10        16     543.6   -100000
        44        23     -19.8     -56.9
        27         1       -10       -10
        41        35    -618.8     107.3
        32        36         0         0
        19         6         0         0
